Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002638;;75005;12;3;A7A8;CONSTRUCTION_IMMEUBLE;;Boulevard de l'Hopital;au n°11;2024-01-08;2025-04-01;RESTREINTE;Neutralisation du trottoir, déviation piétonne obligatoire sur le trottoir d'en face;2;2;;"{""coordinates"": [[[2.3642443559308997, 48.84281055164292], [2.364227885928587, 48.842826576169294], [2.3646293126078626, 48.84260314100179], [2.3640153414574194, 48.8415740817198], [2.363409665230726, 48.84186624664346], [2.363985830436452, 48.842658798852604], [2.3641085295069426, 48.84260574486684], [2.3642443559308997, 48.84281055164292]]], ""type"": ""Polygon""}";48.84219098441977, 2.3640339656032325
CP002648;;75005;12;2;CPCU;CREATION_RESEAUX;;Quai Saint-Bernard et rue des Fossés Saint-Bernard;;2024-09-16;2025-01-30;RESTREINTE;Travaux en plusieurs phases. Circulation piétonne modifiée sur le carrefour rue des Fossés Saint-Bernard/Bd Saint Germain. Itinéraire cyclable conservé.;1;2;;"{""coordinates"": [[[2.3561205416482465, 48.84922941154152], [2.353343189226003, 48.84745286152407], [2.3534102836823925, 48.84729210497394], [2.353313041247872, 48.84725935537033], [2.3531803164500134, 48.84746272301866], [2.3561190818462125, 48.84934755757344], [2.357357269319315, 48.849246801765574], [2.359326450502557, 48.847936185601576], [2.3591647660593806, 48.84784938966031], [2.3570487171317924, 48.84919143716342], [2.3561205416482465, 48.84922941154152]]], ""type"": ""Polygon""}";48.848555692634534, 2.356608141994743
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;2;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
CP002700;;75007;12;3;Musée d'Orsay;REHABILITATION_IMMEUBLE;Deux chantiers de réhabilitation de bâtiments publics pour le musée d'Orsay et le conseil d'état.;Quai Voltaire;aux n°29-31;2024-10-01;2026-08-01;RESTREINTE;Réduction du quai Voltaire à une voie de circulation dans le sens Est/Ouest;1;2;;"{""coordinates"": [[[2.3296417394036775, 48.85934551403987], [2.3296896728372563, 48.8594156009651], [2.3301842120362175, 48.859251881289445], [2.3300244401126555, 48.85901736512524], [2.329987574561423, 48.8590359560642], [2.330091444456793, 48.85918691450391], [2.3296376697601486, 48.859345491242436], [2.3296417394036775, 48.85934551403987]]], ""type"": ""Polygon""}";48.85926763703709, 2.329935695831666
CP002719;;75020;10;1;ville de PARIS;REAMENAGEMENT_VOIRIE;Création piste cyclable +passages piétons.;Porte de Montreuil.;;2024-11-12;2024-12-31;RESTREINTE;Mise en place d'une déviation Cyclable.;1;2;;"{""coordinates"": [[[2.4122542303131063, 48.854761450371704], [2.4129409814107583, 48.8544855518055], [2.4132961553570955, 48.85474508184363], [2.414370874371378, 48.85470738114584], [2.414764883318863, 48.85440855724076], [2.4150318129931314, 48.85382983904391], [2.4146773605352907, 48.85350587110024], [2.413964118846995, 48.85324459167634], [2.413017217597543, 48.853497738565615], [2.412532573854851, 48.85317312445426], [2.4122542303131063, 48.854761450371704]]], ""type"": ""Polygon""}";48.854020562231014, 2.413605761641423
CP001671;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Marengo;n°1;2020-06-29;2025-03-31;RESTREINTE;Modification de s files de circulation;2;4;;"{""coordinates"": [[[2.3391843934121015, 48.86165803902996], [2.3390613895856074, 48.861688293747754], [2.339170525908402, 48.86189829527488], [2.3392320575540237, 48.86188078836643], [2.339288331746809, 48.861851354924156], [2.3391843934121015, 48.86165803902996]]], ""type"": ""Polygon""}";48.861776141969294, 2.339176391503361
CP002681;;75010;11;3;RTE;REAMENAGEMENT_VOIRIE;;164 avenue Parmentier__rue Jacques Louvel-Tessier;;2024-09-16;2025-01-20;RESTREINTE;Réduction de voirie, renvoie des cyclistes en circulation générale.;2;3;;"{""coordinates"": [[[2.371882365841068, 48.87181988840871], [2.3719669091711952, 48.87172903312333], [2.370218644315661, 48.87121770340717], [2.3705264931352494, 48.870838016123784], [2.37044336044382, 48.87081206828633], [2.370124198263168, 48.871285681112916], [2.371882365841068, 48.87181988840871]]], ""type"": ""Polygon""}";48.87144784349523, 2.3709704402236995
CP002714;;75019;9;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagements cyclables;Place bataille Stalingrad;Avenue Jean Jaurès Quai de la Loire;2024-11-25;2025-03-31;RESTREINTE;Réduction des chaussés et déplacement de la bidirectionnelle;1;2;;"{""coordinates"": [[[[2.3686196531907195, 48.8839267159944], [2.3686629266709085, 48.883944408226746], [2.3686923350031392, 48.88392337604217], [2.3687357337793777, 48.883755472900795], [2.368708515840365, 48.883911803379135], [2.36875482986915, 48.88387868072529], [2.3687425098729102, 48.88386828879233], [2.369249542975902, 48.88352191761551], [2.369293141572013, 48.88345229471389], [2.3693104829932814, 48.88344170115249], [2.369334569677137, 48.883393437903685], [2.3699403108473716, 48.883030832726426], [2.3701779867259383, 48.88286084400786], [2.3700521919951, 48.88296385853383], [2.3701524209308378, 48.88290385927817], [2.3701810395673353, 48.882883305499064], [2.370204145643084, 48.88286372006988], [2.3696683123263904, 48.882731039901415], [2.368970105141622, 48.88323040292163], [2.3686196531907195, 48.8839267159944]]], [[[2.36875482986915, 48.88387868072529], [2.368932362915515, 48.884028421113165], [2.3692461945837255, 48.88352726446493], [2.36875482986915, 48.88387868072529]]], [[[2.368918076056171, 48.884034491811256], [2.368953416407501, 48.8840631804634], [2.3690311519439877, 48.884094964086714], [2.3690266141726717, 48.8841202490394], [2.3690325699096504, 48.88412368168179], [2.3690264445258524, 48.884121195136906], [2.369026245657311, 48.884122302059986], [2.3690455315966514, 48.88413795845974], [2.369293673013405, 48.88349330865632], [2.36927976209908, 48.883503257482346], [2.368992394841195, 48.88407905397892], [2.368932362915515, 48.884028421113165], [2.3689277740677146, 48.884035749826], [2.368918076056171, 48.884034491811256]]], [[[2.3696899166159193, 48.88320991635137], [2.3698443748524842, 48.88311556163292], [2.369980506806547, 48.883022561790305], [2.3700521919951, 48.88296385853383], [2.3699403108473716, 48.883030832726426], [2.3696899166159193, 48.88320991635137]]], [[[2.369281264452504, 48.883500248152295], [2.3692944755461736, 48.88349122284637], [2.3693094263852172, 48.883452380499435], [2.3696455680441186, 48.88324163418683], [2.3696899166159193, 48.88320991635137], [2.3693104829932814, 48.88344170115249], [2.369281264452504, 48.883500248152295]]], [[[2.3693416424575706, 48.88345900107944], [2.3698189444219926, 48.88313293409965], [2.3696455680441186, 48.88324163418683], [2.3693416424575706, 48.88345900107944]]], [[[2.3688753185089317, 48.88406974219362], [2.3689346101081323, 48.884140280489916], [2.3689894248518315, 48.88414454712002], [2.368916252672179, 48.884088293447846], [2.368906909667547, 48.88408317109569], [2.3688753185089317, 48.88406974219362]]], [[[2.3686196531907195, 48.8839267159944], [2.3685813493209262, 48.88372780668395], [2.3686035256651476, 48.88391364555669], [2.368619338328749, 48.88395268511073], [2.3686465324178605, 48.8839485000521], [2.3686196531907195, 48.8839267159944]]], [[[2.3687136713664376, 48.883965156180615], [2.368734680572374, 48.883989043370384], [2.368773498029459, 48.88399894997257], [2.368830104064615, 48.88403171231385], [2.3688591852596486, 48.884044421126085], [2.368804258015352, 48.88400219413549], [2.368788049622494, 48.88399646450664], [2.3687880604464713, 48.883995571531685], [2.3687136713664376, 48.883965156180615]]], [[[2.3690308762067325, 48.884165214477896], [2.369086814301036, 48.88420563813627], [2.369096159682787, 48.88418918203057], [2.3690499213907033, 48.88416157634157], [2.3690375114215896, 48.884154773183006], [2.3690308762067325, 48.884165214477896]]], [[[2.3689483968292424, 48.88418167274422], [2.369079145142738, 48.884312223742725], [2.368994551185509, 48.88421158840119], [2.3689483968292424, 48.88418167274422]]], [[[2.368806629918833, 48.88400316352422], [2.3688706650047178, 48.88404943783323], [2.3689138154634284, 48.88406829485158], [2.368867072645599, 48.88402787730975], [2.368806629918833, 48.88400316352422]]], [[[2.368757133122618, 48.88401456954537], [2.36876406582024, 48.88402245092878], [2.3688753185089317, 48.88406974219362], [2.3688692531833238, 48.88406252639492], [2.368847903950067, 48.884050822423944], [2.368781326410361, 48.88402496291886], [2.368757133122618, 48.88401456954537]]], [[[2.36896737268412, 48.88417925554194], [2.368994551185509, 48.88421158840119], [2.3690796957807536, 48.884266775553336], [2.36896737268412, 48.88417925554194]]], [[[2.368684607514198, 48.883953273005666], [2.368700187657718, 48.88395964325462], [2.368708515840365, 48.883911803379135], [2.3686923350031392, 48.88392337604217], [2.368684607514198, 48.883953273005666]]], [[[2.3689046026746783, 48.88413794415201], [2.368877701419897, 48.884135850810615], [2.3689483968292424, 48.88418167274422], [2.3689046026746783, 48.88413794415201]]], [[[2.3686465324178605, 48.8839485000521], [2.3686790332784238, 48.88397484096002], [2.368684607514198, 48.883953273005666], [2.3686629266709085, 48.883944408226746], [2.368660130137166, 48.883946407973696], [2.3686465324178605, 48.8839485000521]]], [[[2.36907203150522, 48.88417092714799], [2.369096159682787, 48.88418918203057], [2.3691452192229825, 48.8842356021002], [2.369100095957636, 48.884182251872936], [2.3690753750960916, 48.88416440575968], [2.36907203150522, 48.88417092714799]]], [[[2.368696753568082, 48.88397936358449], [2.368734393733616, 48.88398896991182], [2.36871360623181, 48.88396512975671], [2.368700187657718, 48.88395964325462], [2.368696753568082, 48.88397936358449]]], [[[2.368890446991436, 48.8840309089473], [2.368911294768976, 48.88404595846324], [2.3689510987794447, 48.88406223294754], [2.368916959615508, 48.88403434743016], [2.368890446991436, 48.8840309089473]]], [[[2.3699332073600434, 48.88306129515418], [2.3701165200210585, 48.88292964300184], [2.369980506806547, 48.883022561790305], [2.3699332073600434, 48.88306129515418]]], [[[2.3689154375623422, 48.88413878727493], [2.36896737268412, 48.88417925554194], [2.3689346101081323, 48.884140280489916], [2.3689154375623422, 48.88413878727493]]], [[[2.3689138154634284, 48.88406829485158], [2.368930879966518, 48.88408305102632], [2.3689677431558063, 48.8840973683562], [2.368982981982594, 48.884103553305415], [2.3689672357409157, 48.88409164056459], [2.3689138154634284, 48.88406829485158]]], [[[2.368901636192439, 48.884042008968464], [2.3689672357409157, 48.88409164056459], [2.3689741537144124, 48.88409466369168], [2.3689787980044663, 48.88409468816927], [2.368911294768976, 48.88404595846324], [2.368901636192439, 48.884042008968464]]], [[[2.3690260954499935, 48.88417273823551], [2.3691027847052206, 48.88423169485938], [2.369029112088675, 48.88416799129661], [2.3690260954499935, 48.88417273823551]]], [[[2.3686790332784238, 48.88397484096002], [2.3686436090167002, 48.88396580028574], [2.368695252669871, 48.88398798561583], [2.368696753568082, 48.88397936358449], [2.3686790332784238, 48.88397484096002]]], [[[2.368982981982594, 48.884103553305415], [2.3690240346402986, 48.884134613888584], [2.369025189904246, 48.8841281780961], [2.369001480255585, 48.88411106215329], [2.368982981982594, 48.884103553305415]]], [[[2.3689012577724293, 48.884071546277696], [2.3689113828289736, 48.884078862614444], [2.3689373903423885, 48.88409438988496], [2.368943343220952, 48.88409490689791], [2.3689459561656134, 48.884099504541005], [2.3689587243654886, 48.884107127086146], [2.368930879966518, 48.88408305102632], [2.3689012577724293, 48.884071546277696]]], [[[2.3689894248518315, 48.88414454712002], [2.369018272780267, 48.88416672457763], [2.3690195332612385, 48.884159708374504], [2.369003243329361, 48.884145621798005], [2.3689894248518315, 48.88414454712002]]], [[[2.3690377908367517, 48.88415433398516], [2.3690499213907033, 48.88416157634157], [2.3690709225669626, 48.88417308958204], [2.36907203150522, 48.88417092714799], [2.3690426361075136, 48.88414868836217], [2.3690414372291566, 48.884148594809425], [2.3690377908367517, 48.88415433398516]]], [[[2.3689046026746783, 48.88413794415201], [2.3689154375623422, 48.88413878727493], [2.3688618503482974, 48.88409984722485], [2.3689046026746783, 48.88413794415201]]], [[[2.3689587243654886, 48.884107127086146], [2.368972787584928, 48.88411928816513], [2.369021949202548, 48.88414624019215], [2.3690221700502323, 48.88414500747913], [2.3689587243654886, 48.884107127086146]]], [[[2.368695252669871, 48.88398798561583], [2.3687632200387903, 48.88402202738304], [2.3687564670378274, 48.88401428364478], [2.368695252669871, 48.88398798561583]]], [[[2.3689787980044663, 48.88409468816927], [2.369001480255585, 48.88411106215329], [2.3690201603685646, 48.88411864480204], [2.369011364621608, 48.884111459587714], [2.3689822969029763, 48.88409470661], [2.3689787980044663, 48.88409468816927]]], [[[2.3690221700502323, 48.88414500747913], [2.369026191011008, 48.88414740739027], [2.3690414372291566, 48.884148594809425], [2.3690416794217053, 48.88414796385875], [2.3690240346402986, 48.884134613888584], [2.3690221700502323, 48.88414500747913]]], [[[2.3688875331808092, 48.88406621466729], [2.368904549790391, 48.884079296046046], [2.368931657276754, 48.884093513400025], [2.3689113828289736, 48.884078862614444], [2.3688951609715714, 48.88406917768839], [2.3688875331808092, 48.88406621466729]]], [[[2.3688649945449947, 48.88405746051858], [2.3688875331808092, 48.88406621466729], [2.368878267611493, 48.88405909171772], [2.3688543748533784, 48.88404482654592], [2.3688649945449947, 48.88405746051858]]], [[[2.3689129033982415, 48.88408571810713], [2.368916252672179, 48.884088293447846], [2.368950147330816, 48.88410687593362], [2.3689459561656134, 48.884099504541005], [2.3689373903423885, 48.88409438988496], [2.368932521790883, 48.88409396672106], [2.368933440498762, 48.88409444910616], [2.3689322520672826, 48.884093943715534], [2.3689129033982415, 48.88408571810713]]], [[[2.369018272780267, 48.88416672457763], [2.3690136868825094, 48.88419226648214], [2.3690260954499935, 48.88417273823551], [2.369018272780267, 48.88416672457763]]], [[[2.3688591852596486, 48.884044421126085], [2.368878267611493, 48.88405909171772], [2.3688951609715714, 48.88406917768839], [2.3689012577724293, 48.884071546277696], [2.3688706650047178, 48.88404943783323], [2.3688591852596486, 48.884044421126085]]], [[[2.368950147330816, 48.88410687593362], [2.3690005861408987, 48.884143324402196], [2.368972787584928, 48.88411928816513], [2.368950147330816, 48.88410687593362]]], [[[2.3688862440255836, 48.88403036338407], [2.368890446991436, 48.8840309089473], [2.368814492364425, 48.88397607766398], [2.3688862440255836, 48.88403036338407]]], [[[2.3690038277856766, 48.884145667146626], [2.3690199603186044, 48.88415732560944], [2.3690218014690414, 48.88414706589528], [2.3690038277856766, 48.884145667146626]]], [[[2.368867072645599, 48.88402787730975], [2.368901636192439, 48.884042008968464], [2.3688862440255836, 48.88403036338407], [2.368867072645599, 48.88402787730975]]], [[[2.3688666332052075, 48.88405940990491], [2.3688692531833238, 48.88406252639492], [2.368906909667547, 48.88408317109569], [2.3689129033982415, 48.88408571810713], [2.368904549790391, 48.884079296046046], [2.3688666332052075, 48.88405940990491]]], [[[2.369025189904246, 48.8841281780961], [2.369044054628712, 48.88414179619938], [2.36904511905221, 48.88413903098168], [2.3690260395024003, 48.884123447615735], [2.369025189904246, 48.8841281780961]]], [[[2.3698189444219926, 48.88313293409965], [2.3699332073600434, 48.88306129515418], [2.3698443748524842, 48.88311556163292], [2.3698189444219926, 48.88313293409965]]], [[[2.3692461945837255, 48.88352726446493], [2.36927976209908, 48.883503257482346], [2.369281264452504, 48.883500248152295], [2.369249542975902, 48.88352191761551], [2.3692461945837255, 48.88352726446493]]], [[[2.3689510987794447, 48.88406223294754], [2.369011364621608, 48.884111459587714], [2.3690166243019624, 48.88411449105997], [2.368953416407501, 48.8840631804634], [2.3689510987794447, 48.88406223294754]]], [[[2.36904511905221, 48.88413903098168], [2.369075613920074, 48.88416394026736], [2.369100095957636, 48.884182251872936], [2.3690455315966514, 48.88413795845974], [2.36904511905221, 48.88413903098168]]], [[[2.368916959615508, 48.88403434743016], [2.368918076056171, 48.884034491811256], [2.3687664172127967, 48.883911378409486], [2.368916959615508, 48.88403434743016]]], [[[2.3687880604464713, 48.883995571531685], [2.368804258015352, 48.88400219413549], [2.368806629918833, 48.88400316352422], [2.3687881304589538, 48.88398979552125], [2.3687880604464713, 48.883995571531685]]], [[[2.3690416794217053, 48.88414796385875], [2.3690426361075136, 48.88414868836217], [2.3690549273735035, 48.88414964436868], [2.369044054628712, 48.88414179619938], [2.3690416794217053, 48.88414796385875]]], [[[2.368847903950067, 48.884050822423944], [2.3688569853628874, 48.88405434979398], [2.3687958801467217, 48.88402230119517], [2.368847903950067, 48.884050822423944]]], [[[2.369293673013405, 48.88349330865632], [2.3693416424575706, 48.88345900107944], [2.3692944755461736, 48.88349122284637], [2.369293673013405, 48.88349330865632]]], [[[2.3690195332612385, 48.884159708374504], [2.369029112088675, 48.88416799129661], [2.3690308762067325, 48.884165214477896], [2.3690199603186044, 48.88415732560944], [2.3690195332612385, 48.884159708374504]]], [[[2.3701165200210585, 48.88292964300184], [2.3701672966073652, 48.88289495414632], [2.3701524209308378, 48.88290385927817], [2.3701165200210585, 48.88292964300184]]], [[[2.3687088289815064, 48.883959651046474], [2.3687136148709587, 48.88396509203052], [2.3687152222257666, 48.88395848685201], [2.3687088289815064, 48.883959651046474]]], [[[2.3690549273735035, 48.88414964436868], [2.3690753750960916, 48.88416440575968], [2.369075613920074, 48.88416394026736], [2.3690566834587954, 48.884149781327345], [2.3690549273735035, 48.88414964436868]]], [[[2.3701672966073652, 48.88289495414632], [2.370194114309756, 48.88287391514526], [2.3701810395673353, 48.882883305499064], [2.3701672966073652, 48.88289495414632]]], [[[2.3690237292105847, 48.88414721634967], [2.3690375114215896, 48.884154773183006], [2.3690377908367517, 48.88415433398516], [2.369026191011008, 48.88414740739027], [2.3690237292105847, 48.88414721634967]]], [[[2.3690166243019624, 48.88411449105997], [2.3690233207626084, 48.8841199277103], [2.3690264445258524, 48.884121195136906], [2.3690266141726717, 48.8841202490394], [2.3690166243019624, 48.88411449105997]]], [[[2.368734393733616, 48.88398896991182], [2.3687564670378274, 48.88401428364478], [2.368757133122618, 48.88401456954537], [2.368734680572374, 48.883989043370384], [2.368734393733616, 48.88398896991182]]], [[[2.3690201603685646, 48.88411864480204], [2.3690260395024003, 48.884123447615735], [2.369026245657311, 48.884122302059986], [2.3690233207626084, 48.8841199277103], [2.3690201603685646, 48.88411864480204]]], [[[2.3688569853628874, 48.88405434979398], [2.3688666332052075, 48.88405940990491], [2.3688649945449947, 48.88405746051858], [2.3688569853628874, 48.88405434979398]]], [[[2.3690218014690414, 48.88414706589528], [2.3690237292105847, 48.88414721634967], [2.369021949202548, 48.88414624019215], [2.3690218014690414, 48.88414706589528]]], [[[2.3690005861408987, 48.884143324402196], [2.369003243329361, 48.884145621798005], [2.3690038277856766, 48.884145667146626], [2.3690005861408987, 48.884143324402196]]], [[[2.368931657276754, 48.884093513400025], [2.3689322520672826, 48.884093943715534], [2.368932521790883, 48.88409396672106], [2.368931657276754, 48.884093513400025]]], [[[2.3687632200387903, 48.88402202738304], [2.368763308801933, 48.88402212947503], [2.36876406582024, 48.88402245092878], [2.3687632200387903, 48.88402202738304]]], [[[2.36871360623181, 48.88396512975671], [2.3687136713664376, 48.883965156180615], [2.3687136148709587, 48.88396509203052], [2.36871360623181, 48.88396512975671]]]], ""type"": ""MultiPolygon""}";48.883331921025245, 2.369301613374635
CP002718;;75018;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;;Avenue de la porte de la Chapelle;depuis Bld Ney entrée du Bld périphérique;2024-12-04;2025-01-06;RESTREINTE;Réduction de voirie et fermeture de la bretelle périphérique.;1;1;;"{""coordinates"": [[[2.358535179676227, 48.89972124205038], [2.358633020957345, 48.89971370998101], [2.358688044287344, 48.89921455892632], [2.3589062352406565, 48.89902507842694], [2.3589179517509837, 48.89873513959908], [2.3578674145381977, 48.898716085668354], [2.3578625152005332, 48.898783188860975], [2.3585709957556604, 48.89879772686938], [2.358535179676227, 48.89972124205038]]], ""type"": ""Polygon""}";48.89902800680006, 2.35859953395192
CP002690;;75014;12;1;S.T.V;REAMENAGEMENT_SECTEUR;Végétalisation de la rue Delambre.;rue Delambre;Depuis la place Stephane Hessel jusqu'au square Delambre.;2024-11-04;2025-03-03;BARRAGE_TOTAL;Fermeture du tronçon dans sa totalité le temps des travaux. Mise en impasse de la rue Delambre depuis le bld Raspail jusqu'au square Delambre.;1;2;;"{""coordinates"": [[[[2.3250780245367246, 48.84133068343667], [2.3274458102644395, 48.841652321584434], [2.327462817575786, 48.84158579579296], [2.327304442399685, 48.84156342215167], [2.327321441828033, 48.841507125715665], [2.327195611560103, 48.84148493582895], [2.327178612002978, 48.84154123224823], [2.325111368759565, 48.84126910849139], [2.3250780245367246, 48.84133068343667]]], [[[2.3274458102644395, 48.841652321584434], [2.327445679667156, 48.84165283348856], [2.3274497479282386, 48.84165285636089], [2.3274458102644395, 48.841652321584434]]]], ""type"": ""MultiPolygon""}";48.84146332644451, 2.326334819553636
CP002702;;75019;9;1;;REAMENAGEMENT_VOIRIE;Végétalisation de la rue;Rue de Lagny;Depuis la Rue Buzenval jusqu'à la Rue Huguenet;2024-11-04;2024-12-20;;Inversion de sens de la rue;1;2;;"{""coordinates"": [[[2.4041080336889507, 48.848895972070245], [2.40290791593637, 48.84887924782835], [2.402895278634871, 48.8489167786084], [2.4049531087092446, 48.84900490494217], [2.4049694148394116, 48.849002300572465], [2.404970181336725, 48.84893517220894], [2.404107910873972, 48.8489067124283], [2.4041080336889507, 48.848895972070245]]], ""type"": ""Polygon""}";48.84893424656242, 2.4040196692875875
CP002712;;75018;9;1;Mission Vélo;TRAVAUX_PREPARATOIRES;;Rue Damrémont;Entre la Rue Marcadet et la Rue Lamarck;2024-11-26;2024-12-19;RESTREINTE;Déviation Vélo et Suppression des places stationnement.;1;2;;"{""coordinates"": [[[2.3348530534818965, 48.89163954504464], [2.3349387007888085, 48.891629279225825], [2.3343246697054827, 48.89060548362548], [2.334267319888071, 48.89063201684425], [2.3342713919787967, 48.8906320394836], [2.3348530534818965, 48.89163954504464]]], ""type"": ""Polygon""}";48.89115021237207, 2.334610993818094
CP002716;;75019;9;1;sagp;REAMENAGEMENT_VOIRIE;Aménagements Cyclables;Quai de la Loire;;2025-02-03;2025-02-24;RESTREINTE;Fermeture du Quai de la Loir entre Henry Noguères et Jaurès;2;1;;"{""coordinates"": [[[[2.372870869295068, 48.8843458565617], [2.373435988687262, 48.884585629536076], [2.3710052740056535, 48.883279643912076], [2.370939517326749, 48.883330318194346], [2.372870869295068, 48.8843458565617]]], [[[2.3730434111628225, 48.884436578645854], [2.3741479806405636, 48.88501734452911], [2.3742421707174857, 48.884972187950396], [2.3730434111628225, 48.884436578645854]]], [[[2.372870869295068, 48.8843458565617], [2.3722658380104735, 48.88408914410812], [2.3730434111628225, 48.884436578645854], [2.372870869295068, 48.8843458565617]]], [[[2.373435988687262, 48.884585629536076], [2.373634784396217, 48.88469243408194], [2.373675564055475, 48.884687276636896], [2.373435988687262, 48.884585629536076]]]], ""type"": ""MultiPolygon""}";48.88410170787523, 2.372473447977562
CP002722;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abord de Gare du Nord;rue de Dunkerque;du n°9 au 23;2024-11-25;2025-02-10;RESTREINTE;"Reduction de la largeur de la voie et du trottoir impair.
Contresens cyclable maintenu.";2;2;;"{""coordinates"": [[[2.356990046255929, 48.879567441309376], [2.3571064176884757, 48.879539870434606], [2.3570988884179966, 48.8794901535954], [2.3570647994848004, 48.87944834943655], [2.356556469037002, 48.87956645355063], [2.35634030899057, 48.879597514629005], [2.356003820146487, 48.87964672503202], [2.3557308308383815, 48.87966405316727], [2.355048075505703, 48.87973019296538], [2.3550774101221674, 48.87982701929831], [2.355953657734934, 48.87975252240239], [2.356322879115386, 48.87969006200915], [2.3563249147376437, 48.87969007295395], [2.356990046255929, 48.879567441309376]]], ""type"": ""Polygon""}";48.87966758071807, 2.3560512901862016
CP002649;;75012;14;1;Fayolle;REAMENAGEMENT_VOIRIE;;;Place Félix Eboué.;2024-08-01;2025-08-29;RESTREINTE;Plusieurs voies réduites pour la circulation et création de voies cyclables provisoires le temps des travaux.;1;2;;"{""coordinates"": [[[2.395466747299581, 48.84010052209265], [2.3966265139160634, 48.83971969025336], [2.397375254949208, 48.839701981542916], [2.397361093570681, 48.83951930757824], [2.3970034932857303, 48.8394852813882], [2.3967946992897926, 48.839247919781215], [2.397661800578051, 48.83884411943166], [2.397501075133948, 48.83867144831366], [2.3958502085414652, 48.839307601531864], [2.3962517692855934, 48.83976076461167], [2.3960725330410964, 48.83978134197787], [2.395403031195249, 48.83998204567209], [2.395466747299581, 48.84010052209265]]], ""type"": ""Polygon""}";48.839379679853586, 2.39662252961462
CP002685;;75010;11;1;SAGP .DST;REAMENAGEMENT_SECTEUR;Elargissement du trottoir et aménagement de la piste cyclable.;Rue Louis Blanc;du 50 au 52;2024-10-14;2025-02-26;BARRAGE_TOTAL;;2;2;;"{""coordinates"": [[[2.363169175758722, 48.88224695506083], [2.363076524469573, 48.882165905671435], [2.3622813189155103, 48.882602050725154], [2.362339234723973, 48.882693657287575], [2.363169175758722, 48.88224695506083]]], ""type"": ""Polygon""}";48.882425002699634, 2.3627212179717345
CP002704;;75010;11;1;Eau de PARIS;INSPECTION_ENTRETIEN_RESEAU;;148 quai de Jemmapes;;2024-09-20;2025-02-28;IMPASSE;Quai Jemmapes fermé depuis le pont Maria Casarès jusqu'au 150 quai Jemmapes.;2;2;;"{""coordinates"": [[[2.3659513959409657, 48.87757496031595], [2.366045417611009, 48.877543235162435], [2.365932839806638, 48.877427173583136], [2.3656792383725844, 48.877525183896154], [2.3657193264900496, 48.87757641635876], [2.3658500833819294, 48.87753683066461], [2.3658502141645816, 48.87752608972539], [2.3659513959409657, 48.87757496031595]]], ""type"": ""Polygon""}";48.877511959501966, 2.3658727041610015
CP002710;;75018;9;1;Mission Vélo;TRAVAUX_PREPARATOIRES;travaux préparatoires dépose de gallinette et mise en conformité des quai des bus;1Rue Damrémont;Angle Damrémont et Joseph de Maistre;2024-10-04;2024-11-26;;"Impacte sur la circulation rentrante de Paris 
déviation par la rue des Clois";2;2;;"{""coordinates"": [[[[2.332592321549073, 48.886925132977545], [2.332567892111679, 48.886924996803955], [2.332645892705734, 48.88751081232192], [2.3327232536894136, 48.8875112434718], [2.332674750010925, 48.88729411821065], [2.3326995809814655, 48.887452036494786], [2.332592321549073, 48.886925132977545]]], [[[2.332592321549073, 48.886925132977545], [2.332674750010925, 48.88729411821065], [2.3326167509864937, 48.88692526914613], [2.332592321549073, 48.886925132977545]]]], ""type"": ""MultiPolygon""}";48.88724082630918, 2.3326386799528103
CP002711;;75018;9;1;Mission Vélo;TRAVAUX_PREPARATOIRES;;;;2024-11-26;2024-12-19;RESTREINTE;;;2;;"{""coordinates"": [[[2.332646316870952, 48.887795449215766], [2.3326911735187297, 48.887790328431755], [2.3325499198605097, 48.88705647284538], [2.3325131716683374, 48.88706432417302], [2.3325171058088667, 48.88707508678159], [2.332646316870952, 48.887795449215766]]], ""type"": ""Polygon""}";48.88744070421021, 2.332603272096946
